epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.699,1.91173,5.10731,2.19454,0.22453,0.19697,0.14635,0.05664,2.0111,5.04112,2.53567,0.000136377,0.000136377,0.000136377
2,830.104,1.74699,3.52814,1.93243,0.339,0.23504,0.17332,0.06286,2.12566,4.11087,2.62963,0.00026629,0.00026629,0.00026629
3,1358.72,1.765,3.06176,1.87366,0.29814,0.39786,0.28075,0.1071,1.99826,3.54396,2.46845,0.000387028,0.000387028,0.000387028
4,1893.73,1.76009,2.88495,1.88517,0.43893,0.30508,0.30666,0.11824,1.98187,3.21005,2.39701,0.000375717,0.000375717,0.000375717
5,2429.68,1.74168,2.70433,1.86195,0.58955,0.23598,0.25656,0.10289,2.0764,2.98142,2.50438,0.000361956,0.000361956,0.000361956
6,2965.56,1.76839,2.62308,1.87017,0.34396,0.43509,0.32885,0.13569,2.00646,2.82175,2.39232,0.000348195,0.000348195,0.000348195
7,3500.06,1.70763,2.46793,1.84484,0.43562,0.38505,0.38812,0.15284,2.03017,2.65618,2.4426,0.000334434,0.000334434,0.000334434
8,4032.25,1.68288,2.37181,1.80474,0.42984,0.40254,0.37296,0.14475,2.06405,2.66187,2.41819,0.000320673,0.000320673,0.000320673
9,4567.12,1.61895,2.26418,1.77032,0.49173,0.46938,0.47604,0.20009,2.0652,2.3726,2.40019,0.000306912,0.000306912,0.000306912
10,5101.46,1.64907,2.12121,1.77199,0.44726,0.46528,0.44022,0.18484,2.09747,2.31556,2.44998,0.000293151,0.000293151,0.000293151
11,5637.11,1.65134,2.07379,1.77036,0.58201,0.47463,0.52616,0.2239,1.99182,2.18099,2.3334,0.00027939,0.00027939,0.00027939
12,6174.82,1.59035,1.98858,1.72918,0.49604,0.47305,0.52233,0.21789,2.01448,2.18782,2.40459,0.000265629,0.000265629,0.000265629
13,6708.51,1.59436,1.95682,1.73151,0.50265,0.50273,0.49693,0.20909,2.01977,2.31477,2.38917,0.000251868,0.000251868,0.000251868
14,7243.01,1.56828,1.83309,1.7112,0.54202,0.51936,0.54561,0.2397,2.03992,2.15184,2.40608,0.000238107,0.000238107,0.000238107
15,7778.71,1.54139,1.77503,1.66916,0.54895,0.43963,0.50788,0.21931,2.03641,2.17965,2.38898,0.000224346,0.000224346,0.000224346
16,8312.9,1.53771,1.68993,1.65039,0.58762,0.57557,0.56882,0.24567,1.96209,1.90107,2.30607,0.000210585,0.000210585,0.000210585
17,8837.04,1.4744,1.63288,1.63787,0.53013,0.57286,0.57458,0.25501,1.9665,1.91693,2.3192,0.000196824,0.000196824,0.000196824
18,9345.78,1.45347,1.55616,1.6244,0.62018,0.57086,0.61836,0.25895,2.10779,1.8957,2.44316,0.000183063,0.000183063,0.000183063
19,9748.9,1.44294,1.50066,1.60399,0.63354,0.57444,0.62171,0.26391,2.10354,1.81359,2.44417,0.000169302,0.000169302,0.000169302
20,10031.8,1.38733,1.3978,1.57449,0.65002,0.59329,0.6337,0.25626,2.17461,1.77011,2.52117,0.000155541,0.000155541,0.000155541
21,10309.3,1.46017,1.27111,1.76759,0.59087,0.64194,0.63765,0.26298,2.03256,1.83796,2.41834,0.00014178,0.00014178,0.00014178
22,10586.4,1.36845,1.139,1.71254,0.67387,0.58837,0.66055,0.27315,2.02784,1.81365,2.42427,0.000128019,0.000128019,0.000128019
23,10858.6,1.29899,1.06848,1.64978,0.67758,0.60183,0.65434,0.28087,2.08808,1.68829,2.50885,0.000114258,0.000114258,0.000114258
24,11125.9,1.24644,0.95437,1.59735,0.60007,0.65412,0.65276,0.2777,2.11312,1.66525,2.56249,0.000100497,0.000100497,0.000100497
25,11391.3,1.23298,0.89835,1.58822,0.63021,0.6377,0.64557,0.29144,2.10179,1.6282,2.58874,8.6736e-05,8.6736e-05,8.6736e-05
26,11657.4,1.16334,0.84642,1.5352,0.64816,0.64352,0.64727,0.29002,2.08291,1.60381,2.5535,7.2975e-05,7.2975e-05,7.2975e-05
27,11918.4,1.1382,0.81236,1.50757,0.71092,0.65054,0.68332,0.30815,2.07116,1.59486,2.57088,5.9214e-05,5.9214e-05,5.9214e-05
28,12179.5,1.09942,0.79172,1.47323,0.68261,0.66678,0.67244,0.29083,2.09652,1.6009,2.58435,4.5453e-05,4.5453e-05,4.5453e-05
29,12440.6,1.05512,0.7566,1.44804,0.66394,0.68759,0.6831,0.3058,2.06191,1.57223,2.55851,3.1692e-05,3.1692e-05,3.1692e-05
30,12702,1.04904,0.73721,1.43366,0.68291,0.67192,0.68213,0.30545,2.06635,1.54812,2.59065,1.7931e-05,1.7931e-05,1.7931e-05
